Month,Python: (Worldwide),Java: (Worldwide),C++: (Worldwide),R: (Worldwide),JavaScript: (Worldwide)
2018-12,49,53,19,16,42
2019-01,54,58,18,15,44
2019-02,59,61,21,18,47
2019-03,59,57,20,17,48
2019-04,60,59,19,18,47
2019-05,57,58,18,16,44
2019-06,61,54,17,17,46
2019-07,62,56,18,16,48
2019-08,58,56,18,15,47
2019-09,68,63,23,17,47
2019-10,66,63,22,17,46
2019-11,69,62,23,16,46
2019-12,60,51,18,14,41
2020-01,65,53,18,14,43
2020-02,69,59,20,16,45
2020-03,66,53,18,15,45
2020-04,70,53,20,16,44
2020-05,67,49,18,16,43
2020-06,65,50,18,15,45
2020-07,67,48,17,15,45
2020-08,61,46,16,13,42
2020-09,67,52,20,16,44
2020-10,55,47,18,15,36
2020-11,52,42,17,14,33
2020-12,49,40,16,13,31
2021-01,51,39,15,12,32
2021-02,55,44,17,13,34
2021-03,61,45,19,14,37
2021-04,60,43,19,13,34
2021-05,57,43,18,13,34
2021-06,57,42,17,13,38
2021-07,52,39,14,12,37
2021-08,51,39,14,11,34
2021-09,62,45,18,14,39
2021-10,64,45,19,15,36
2021-11,67,45,20,15,39
2021-12,62,45,19,13,39
2022-01,78,52,24,14,51
2022-02,85,59,28,17,60
2022-03,100,66,29,17,62
2022-04,95,62,28,18,64
2022-05,90,58,26,15,61
2022-06,84,55,25,15,58
2022-07,83,56,23,14,56
2022-08,85,54,23,14,58
2022-09,92,62,28,16,58
2022-10,93,58,28,16,59
2022-11,100,62,28,16,57
2022-12,86,53,24,15,54
2023-01,86,51,22,14,55
2023-02,94,58,26,16,58
2023-03,92,56,24,16,57
2023-04,84,50,20,15,51
2023-05,79,51,19,15,50
2023-06,78,50,18,13,50
2023-07,77,50,18,12,51
2023-08,76,49,18,12,51
2023-09,83,54,21,13,50
2023-10,85,51,23,14,47
2023-11,82,46,21,13,46
2023-12,74,44,19,12,43
2024-01,78,49,20,13,47
2024-02,91,53,20,15,52
2024-03,87,50,21,16,49
2024-04,85,49,20,15,46
2024-05,82,50,19,14,48
2024-06,74,46,16,12,42
2024-07,74,47,16,11,45
2024-08,71,45,16,11,41
2024-09,76,46,19,12,40
